GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
builders,io.builders.module.cliente.entity,ClienteEntity.ClienteEntityBuilder,74,0,0,0,1,0,8,0,8,0
builders,io.builders.module.cliente.entity,ClienteEntity,239,38,46,0,2,7,29,11,6,11
builders,io.builders.module.cliente.mapper,ClienteMapper,42,40,5,1,12,10,4,2,1,2
builders,io.builders.module.cliente.mapper,ClienteMapperImpl,58,3,8,0,14,1,6,1,2,1
builders,io.builders.swagger,SwaggerConfig,2,268,1,1,0,59,1,7,0,7
builders,io.builders.swagger,DocketCriadoEvent,3,7,0,0,1,3,1,1,1,1
builders,io.builders.module.cliente.dto,ClienteDTO,271,27,54,0,6,2,37,7,10,7
builders,io.builders.module.cliente.service,ClienteService,143,8,12,0,24,2,15,2,9,2
builders,io.builders.config,CorsConfig,42,3,2,0,13,1,4,1,3,1
builders,io.builders.util,Util,5,7,1,1,2,2,2,1,1,1
builders,io.builders.module.cliente.v1,ClienteController,111,18,0,0,20,3,6,2,6,2
builders,io.builders,Application,5,3,0,0,2,1,1,1,1,1
